UTC Timestamp,Game Type,Map,Match Outcome,Kills,Deaths,Damage,Damage Taken,Score
45650.60000,Team Deathmatch,Nuketown,win,18,15,2400,2600,1800
45650.65000,Domination,Babylon,loss,14,18,1900,3100,1600
45650.70000,Kill Confirmed,Scud,win,22,16,2800,2400,2200
45651.60000,Free-For-All,Derelict,loss,12,14,1600,2200,1200
45651.65000,Team Deathmatch,Vorkuta,win,20,13,2600,2000,2000
45651.70000,Domination,Nuketown,win,16,12,2100,1800,1900
45652.60000,Kill Confirmed,Babylon,loss,15,19,2000,3200,1500
45652.65000,Team Deathmatch,Scud,win,19,14,2500,2300,1900
45652.70000,Domination,Derelict,loss,13,17,1800,2900,1400
45653.60000,Free-For-All,Vorkuta,win,16,11,2200,1700,1600
45653.65000,Team Deathmatch,Nuketown,win,21,15,2700,2500,2100
45653.70000,Kill Confirmed,Babylon,win,17,13,2300,2000,1800
45654.60000,Domination,Scud,loss,14,20,1900,3400,1500
45654.65000,Team Deathmatch,Derelict,win,18,12,2400,1900,1800
45654.70000,Free-For-All,Vorkuta,loss,11,15,1500,2400,1100
45655.60000,Kill Confirmed,Nuketown,win,23,14,2900,2200,2300
45655.65000,Domination,Babylon,win,15,11,2000,1700,1700
45655.70000,Team Deathmatch,Scud,loss,17,18,2300,3000,1700
45656.60000,Free-For-All,Derelict,win,14,12,1900,1900,1400
45656.65000,Kill Confirmed,Vorkuta,win,20,13,2600,2100,2000
45656.70000,Team Deathmatch,Nuketown,win,22,16,2800,2600,2200
45657.60000,Domination,Babylon,loss,12,19,1700,3200,1300
45657.65000,Free-For-All,Scud,win,15,10,2100,1600,1500
45657.70000,Team Deathmatch,Derelict,win,19,14,2500,2200,1900
45658.60000,Kill Confirmed,Vorkuta,loss,16,18,2200,3000,1600
45658.65000,Domination,Nuketown,win,17,12,2300,1900,1800
45658.70000,Team Deathmatch,Babylon,win,21,15,2700,2400,2100
45659.60000,Free-For-All,Scud,loss,13,16,1800,2600,1300
45659.65000,Kill Confirmed,Derelict,win,18,14,2400,2200,1800
45659.70000,Team Deathmatch,Vorkuta,win,20,13,2600,2000,2000
